Tournament,Won,F,SF,QF,R16,R32,R64,R128,Q3,Q2,Q1,RR
GrandSlam2000,2000,1300,800,400,200,100,50,10,30,16,8,0
ATPMasters1000(96),1000,650,400,200,100,50,30,10,0,20,10,0
ATPMasters1000(56),1000,650,400,200,100,50,10,0,0,30,16,0
ATP500(48),500,330,200,100,50,25,0,0,0,16,8,0
ATP500(32),500,330,200,100,50,0,0,0,0,25,13,0
ATP250(48),250,165,100,50,25,13,0,0,0,8,4,0
ATP250(32),250,165,100,50,25,0,0,0,0,13,7,0
ATPWorldTourFinals,500,0,400,0,0,0,0,0,0,0,0,200
UnitedCup(OpponentRank1-10),180,0,130,80,0,0,0,0,0,0,0,55
UnitedCup(OpponentRank11-20),140,0,105,65,0,0,0,0,0,0,0,45
UnitedCup(OpponentRank21-30),120,0,90,55,0,0,0,0,0,0,0,40
UnitedCup(OpponentRank31-50),90,0,60,40,0,0,0,0,0,0,0,35
UnitedCup(OpponentRank51-100),60,0,40,35,0,0,0,0,0,0,0,25
UnitedCup(OpponentRank101-250),40,0,35,25,0,0,0,0,0,0,0,20
UnitedCup(OpponentRank251+),35,0,25,20,0,0,0,0,0,0,0,15
